step,status,evidence,source,remaining_uncertainty
Curry acquisition,directly verified,"SynAmps; 66 recorded channels/groups; 1000 Hz; uV; Intel byte order","Curry .cdt.dpo files","Exact analog high/low cutoff values are not fully listed in the recovered excerpt"
Curry import,directly verified,"loadcurry; actual EEGLAB history records KeepTriggerChannel=True and CurryLocations=False","epoched .set history and A_batch_preproc_30subj.m","Code snapshot calls loadcurry with defaults while stored history records explicit actual options"
Digital filter,verified from code,"pop_eegfiltnew high-pass 0.1 Hz and low-pass 30 Hz","A_batch_preproc_30subj.m; s1_filt_0.1-30.set derivative","Per-subject command histories were not cumulative"
CleanLine,unavailable,"Conditional pop_cleanline at 50 Hz with bandwidth=2 p=.01 tau=100 winsize=4 winstep=1","A_batch_preproc_30subj.m","Plugin availability and actual execution for all participants cannot be established; no complete cleanline derivative series"
Rereference,directly verified,"Average reference","Final .set ref field and pop_reref(EEG,[]) in code","None for reference type"
Bad-channel detection,verified from code,"Preferred clean_rawdata: Flatline=5 s ChannelCriterion=.8 LineNoise=4 Burst/Window off; fallback pop_rejchan kurtosis threshold=5","A_batch_preproc_30subj.m; clean_channel_mask in final .set; s1_cleanraw_badchan.set","Which branch ran for every participant is not preserved in cumulative history"
ICA,verified from code,"Extended runica on continuous data","A_batch_preproc_30subj.m; non-empty icaweights/icawinv in final .set","Convergence diagnostics and rank handling are not separately logged"
ICLabel,verified from code,"ICLabel seven-class probabilities","A_batch_preproc_30subj.m; etc.ic_classification.ICLabel in final .set","Plugin version is stored only indirectly"
ICLabel threshold,verified from code,"Eye probability >= .90","A_batch_preproc_30subj.m","No thresholds for non-eye classes were used"
Component rejection,verified from code,"pop_subcomp removes only components meeting Eye>=.90","A_batch_preproc_30subj.m; reduced ICA dimensionality in derivatives","Per-participant rejected-component IDs are not preserved as a standalone table"
Continuous artifact rejection,verified from code,"BurstCriterion and WindowCriterion disabled in preferred clean_rawdata branch","A_batch_preproc_30subj.m","Fallback branch behavior differs and branch identity is incomplete"
Epoch construction,verified from code,"Start code 10 paired with next end code 101-197; missing pairs and 0-back 181-197 removed; -0.2 to 1.0 s","B_epoch_erp_s1.m; epoch endCode metadata","Script filename says s1 but path/sub_id logic was edited for repeated participant use"
Epoch artifact rejection,verified from code,"All-channel amplitude threshold +/-120 uV followed by pop_rejepoch","B_epoch_erp_s1.m","Standalone rejected-epoch logs were not retained"
Interpolation,verified from code,"No channel interpolation step is present; bad channels are removed","A_batch_preproc_30subj.m; clean_channel_mask and reduced channel counts","No evidence of later interpolation"
Baseline correction,verified from code,"pop_rmbase -200 to 0 ms; analysis loader also subtracts -200 to 0 ms","B_epoch_erp_s1.m and run_time_resolved_factor_decoding.py","Analysis-time subtraction is redundant after saved baseline correction"
Final derivatives,inferred from derivative,"30 epoched_stim sets exist; sample rate 1000 Hz; epoch limits -200 to 999/1000 ms; average reference and ICA fields retained","derivatives_eeglab_s1 through s30","Full cumulative EEGLAB command history was not retained"
